TIME,FLUX,FLUX_ERR,CADENCENO,MOM_CENTR1,MOM_CENTR2,QUALITY
1365.2891783842929,24641.37,19.616758,99241,664.0058000895742,338.86103684787884,0
1365.2905672499337,24642.195,19.611656,99242,664.0117803370514,338.85417789808366,0
1365.2919561155745,24660.059,19.612614,99243,664.0040670388906,338.85503600925387,0
1365.293344981215,24627.854,19.606367,99244,664.0074912263364,338.855330042428,0
1365.2947338469712,24634.482,19.603905,99245,664.0098763975506,338.86052394123914,0
1365.2961227126116,24612.205,19.595741,99246,664.0049238964633,338.8533308061215,0
1365.2975115782524,24615.764,19.608574,99247,664.0114885789835,338.85617215213665,0
1365.2989004438932,24631.062,19.602945,99248,664.0063663772873,338.85295630703854,0
1365.3002893095336,24611.75,19.612608,99249,664.0089063623973,338.8640755314543,0
1365.3016781751735,24625.516,19.60266,99250,664.0034321679327,338.8486407045774,0
1365.3030670408139,24636.668,19.610994,99251,664.0101335011713,338.8602488311483,0
1365.3044559064547,24658.176,19.606731,99252,664.0056702829222,338.8516952766981,0
1365.3058447720955,24651.64,19.613764,99253,664.0076591835955,338.8604276085555,0
1365.3072336377354,24647.451,19.609539,99254,664.0009232619811,338.8690562165357,0
1365.3086225033762,24617.877,19.598217,99255,664.0095839424429,338.8398018792729,0
1365.3114002346565,24632.906,19.605022,99257,664.0110537043124,338.8546545425546,0
1365.3127891002973,24619.432,19.598593,99258,664.0039551274305,338.85165713058046,0
1365.3141779659377,24629.178,19.603361,99259,664.0034097453454,338.8556987266256,0
1365.3155668315785,24625.154,19.605963,99260,664.0148547393237,338.8483829574567,0
1365.3169556972193,24636.992,19.609516,99261,664.0056955539466,338.8545658258786,0
1365.3183445627424,24620.693,19.601063,99262,664.0053858732288,338.8535862665989,0
1365.3197334283823,24620.918,19.608345,99263,664.0066697131484,338.85916219246866,0
1365.321122294023,24615.42,19.591858,99264,664.0058731636798,338.84400235799416,0
1365.322511159664,24611.004,19.59939,99265,664.0067764645826,338.86014464832994,0
1365.323900025305,24658.096,19.617546,99266,664.0044445556505,338.85568399592205,0
1365.325288890945,24616.732,19.589237,99267,664.0036106249248,338.85585421872156,0
1365.326677756469,24640.07,19.597282,99268,664.0150208505853,338.85471053794504,0
1365.328066622109,24648.975,19.60034,99269,664.006552444249,338.8636083117879,0
1365.3294554877498,24622.316,19.597942,99270,664.0056282713375,338.84515256434617,0
1365.3308443533906,24595.807,19.587328,99271,664.0086980581668,338.8637741070926,0
1365.3322332189146,24636.459,19.5979,99272,664.0090113341355,338.84463931888,0
1365.3350109501953,24619.904,19.59852,99274,664.0057766357256,338.85714299601244,0
1365.3363998157183,24642.576,19.592703,99275,664.0030506545341,338.85300359835526,0
1365.339177547,24620.412,19.58767,99277,664.0098931008804,338.84666812882483,0
